Date,Close,Volume
2021-01-01,407.3500061035156,23063817
2021-01-04,378.3500061035156,5717110
2021-01-05,365.1000061035156,1994481
2021-01-06,361.20001220703125,1143788
2021-01-07,365.45001220703125,563812
2021-01-08,374.8999938964844,1002929
2021-01-11,369.70001220703125,454047
2021-01-12,374.20001220703125,574388
2021-01-13,374.54998779296875,498965
2021-01-14,368.3500061035156,154429
2021-01-15,361.8999938964844,187589
2021-01-18,347.8500061035156,225062
2021-01-19,344.70001220703125,143027
2021-01-20,329.29998779296875,417739
2021-01-21,313.6000061035156,395378
2021-01-22,302.79998779296875,458913
2021-01-25,294.04998779296875,238698
2021-01-27,285.25,170244
2021-01-28,277.79998779296875,160550
2021-01-29,282.6499938964844,194966
2021-02-01,302.75,695250
2021-02-02,303.6000061035156,246349
2021-02-03,303.1499938964844,197180
2021-02-04,310.8500061035156,277337
2021-02-05,322.25,389581
2021-02-08,322.5,179148
2021-02-09,318.79998779296875,106252
2021-02-10,329.5,178527
2021-02-11,320.70001220703125,139846
2021-02-12,315.6000061035156,85371
2021-02-15,308.29998779296875,141500
2021-02-16,304.20001220703125,81315
2021-02-17,308.20001220703125,143209
2021-02-18,307.1499938964844,98469
2021-02-19,301.8500061035156,146290
2021-02-22,296.6499938964844,86255
2021-02-23,313.95001220703125,441412
2021-02-24,304.75,57662
2021-02-25,303.79998779296875,114656
2021-02-26,298.20001220703125,110941
2021-03-01,299.8999938964844,96865
2021-03-02,300.3500061035156,130795
2021-03-03,300.20001220703125,141336
2021-03-04,300.20001220703125,65941
2021-03-05,297.25,65056
2021-03-08,296.0,67966
2021-03-09,296.1000061035156,101920
2021-03-10,297.1000061035156,48501
2021-03-12,293.1499938964844,54044
2021-03-15,285.70001220703125,81778
2021-03-16,282.3999938964844,62227
2021-03-17,279.45001220703125,100211
2021-03-18,270.95001220703125,97995
2021-03-19,263.5,116570
2021-03-22,264.04998779296875,71030
2021-03-23,267.3500061035156,60864
2021-03-24,264.3500061035156,48923
2021-03-25,255.9499969482422,105441
2021-03-26,252.0,72302
2021-03-30,247.64999389648438,87009
2021-03-31,241.89999389648438,98743
2021-04-01,252.8000030517578,117368
2021-04-05,258.75,135108
2021-04-06,257.20001220703125,60946
2021-04-07,257.0,42231
2021-04-08,262.25,68951
2021-04-09,262.04998779296875,35544
2021-04-12,247.0,62570
2021-04-13,248.75,48988
2021-04-15,248.60000610351562,27797
2021-04-16,254.14999389648438,61744
2021-04-19,267.95001220703125,180303
2021-04-20,287.3500061035156,539559
2021-04-22,285.3999938964844,136483
2021-04-23,279.70001220703125,81159
2021-04-26,281.8999938964844,113796
2021-04-27,279.70001220703125,86629
2021-04-28,301.04998779296875,521011
2021-04-29,299.8999938964844,129403
2021-04-30,296.6499938964844,80168
2021-05-03,293.6499938964844,121320
2021-05-04,290.8500061035156,50473
2021-05-05,291.54998779296875,59696
2021-05-06,303.6000061035156,336937
2021-05-07,297.1499938964844,87167
2021-05-10,296.8999938964844,91990
2021-05-11,297.3999938964844,54621
2021-05-12,306.6499938964844,285461
2021-05-14,303.45001220703125,100632
2021-05-17,300.8500061035156,57253
2021-05-18,302.70001220703125,71789
2021-05-19,304.3500061035156,105994
2021-05-20,300.70001220703125,66260
2021-05-21,311.1000061035156,499518
2021-05-24,311.75,153281
2021-05-25,308.29998779296875,89112
2021-05-26,313.5,172921
2021-05-27,310.0,72231
2021-05-28,308.25,75616
2021-05-31,300.3999938964844,137627
2021-06-01,299.04998779296875,81209
2021-06-02,301.8999938964844,65560
2021-06-03,340.3500061035156,1401139
2021-06-04,335.54998779296875,393393
2021-06-07,339.0,156222
2021-06-08,344.0,517467
2021-06-09,335.20001220703125,295547
2021-06-10,337.54998779296875,85346
2021-06-11,335.54998779296875,68377
2021-06-14,329.8999938964844,70719
2021-06-15,332.45001220703125,112992
2021-06-16,328.75,71038
2021-06-17,324.1000061035156,87886
2021-06-18,322.1499938964844,75327
2021-06-21,321.25,44618
2021-06-22,327.8500061035156,40997
2021-06-23,335.45001220703125,141545
2021-06-24,336.8999938964844,177453
2021-06-25,338.5,59784
2021-06-28,323.29998779296875,128163
2021-06-29,321.75,60205
2021-06-30,321.3500061035156,131613
2021-07-01,321.54998779296875,65507
2021-07-02,321.8999938964844,39071
2021-07-05,318.6499938964844,67542
2021-07-06,315.3500061035156,91823
2021-07-07,322.0,116489
2021-07-08,334.8999938964844,639585
2021-07-09,341.8999938964844,221321
2021-07-12,345.45001220703125,214707
2021-07-13,368.1000061035156,867072
2021-07-14,365.29998779296875,222710
2021-07-15,348.3500061035156,130008
2021-07-16,355.75,117126
2021-07-19,358.45001220703125,195936
2021-07-20,346.5,124434
2021-07-22,345.6000061035156,63654
2021-07-23,339.95001220703125,50404
2021-07-26,337.3500061035156,81336
2021-07-27,348.6499938964844,113127
2021-07-28,342.6000061035156,82478
2021-07-29,346.25,81963
2021-07-30,344.5,60731
2021-08-02,344.79998779296875,40460
2021-08-03,354.1499938964844,194145
2021-08-04,343.75,58553
2021-08-05,339.29998779296875,45109
2021-08-06,342.8999938964844,59176
2021-08-09,335.1499938964844,58824
2021-08-10,327.1000061035156,53240
2021-08-11,336.95001220703125,157238
2021-08-12,372.25,2349724
2021-08-13,383.45001220703125,1137255
2021-08-16,387.6000061035156,487862
2021-08-17,369.3999938964844,217627
2021-08-18,361.29998779296875,122358
2021-08-20,353.95001220703125,386095
2021-08-23,336.45001220703125,223444
2021-08-24,345.8500061035156,142877
