Date,Close,Volume
2022-04-13,231.0,3807527
2022-04-18,242.5500030517578,2037740
2022-04-19,230.4499969482422,389707
2022-04-20,218.9499969482422,35723
2022-04-21,221.6999969482422,1628271
2022-04-22,211.35000610351562,765352
2022-04-25,207.0,618582
2022-04-26,200.5500030517578,361715
2022-04-27,210.5500030517578,266365
2022-04-28,221.0500030517578,79480
2022-04-29,219.60000610351562,1527428
2022-05-02,221.89999389648438,613993
2022-05-04,212.25,421447
2022-05-05,216.4499969482422,330999
2022-05-06,214.14999389648438,339976
2022-05-09,214.1999969482422,663517
2022-05-10,199.25,637407
2022-05-11,194.8000030517578,949146
2022-05-12,192.35000610351562,307116
2022-05-13,193.10000610351562,232807
2022-05-16,205.5500030517578,531720
2022-05-17,209.25,250992
2022-05-18,208.3000030517578,464261
2022-05-19,203.0,232555
2022-05-20,214.1999969482422,910709
2022-05-23,214.6999969482422,375559
2022-05-24,214.5,417561
2022-05-25,200.25,361409
2022-05-26,202.8000030517578,295042
2022-05-27,208.5,260935
2022-05-30,211.5500030517578,377398
2022-05-31,202.0,191177
2022-06-01,203.5,137768
2022-06-02,209.25,489618
2022-06-03,206.35000610351562,149495
2022-06-06,205.9499969482422,95498
2022-06-07,202.85000610351562,196198
2022-06-08,201.8000030517578,110734
2022-06-09,201.4499969482422,124070
2022-06-10,199.10000610351562,70604
2022-06-13,191.35000610351562,189686
2022-06-14,194.75,156378
2022-06-15,193.39999389648438,73588
2022-06-16,189.64999389648438,216869
2022-06-17,185.60000610351562,106874
2022-06-20,181.89999389648438,314828
2022-06-21,188.4499969482422,105215
2022-06-22,186.14999389648438,57703
2022-06-23,188.3000030517578,83541
2022-06-24,191.5500030517578,249897
2022-06-27,195.6999969482422,94061
2022-06-28,197.35000610351562,94564
2022-06-29,191.1999969482422,84890
2022-06-30,191.4499969482422,48445
2022-07-01,192.8000030517578,68687
2022-07-04,194.35000610351562,119163
2022-07-05,198.0,268075
2022-07-06,196.4499969482422,119403
2022-07-07,199.8000030517578,103287
2022-07-08,198.5500030517578,61995
2022-07-11,200.1999969482422,152086
2022-07-12,207.6999969482422,478588
2022-07-13,208.0,164761
2022-07-14,203.89999389648438,152049
2022-07-15,209.14999389648438,160444
2022-07-18,210.10000610351562,117824
2022-07-19,208.60000610351562,84780
2022-07-20,207.6999969482422,123324
2022-07-21,217.1999969482422,257097
2022-07-22,213.64999389648438,131728
2022-07-25,213.35000610351562,147760
2022-07-26,215.25,300420
2022-07-27,215.64999389648438,156508
2022-07-28,213.89999389648438,149368
2022-07-29,223.25,611801
2022-08-01,219.5500030517578,217945
2022-08-02,216.10000610351562,123779
2022-08-03,210.64999389648438,261194
2022-08-04,211.64999389648438,127179
2022-08-05,211.39999389648438,122114
2022-08-08,215.10000610351562,125880
2022-08-10,221.64999389648438,250327
2022-08-11,229.5,965432
2022-08-12,249.5500030517578,1021381
2022-08-16,257.1499938964844,1474282
2022-08-17,261.8999938964844,415585
2022-08-18,260.6000061035156,282616
2022-08-19,267.6499938964844,970046
2022-08-22,261.6499938964844,202840
2022-08-23,277.20001220703125,467480
2022-08-24,277.3999938964844,474103
2022-08-25,273.54998779296875,238188
2022-08-26,269.20001220703125,157115
2022-08-29,277.25,308264
2022-08-30,273.8999938964844,224831
2022-09-01,269.20001220703125,153463
2022-09-02,273.75,158069
2022-09-05,272.6499938964844,186647
2022-09-06,274.95001220703125,257276
2022-09-07,279.95001220703125,157906
2022-09-08,292.25,602676
2022-09-09,289.3500061035156,524584
2022-09-12,282.5,221755
2022-09-13,281.45001220703125,182410
2022-09-14,275.1499938964844,141041
2022-09-15,282.1499938964844,204149
2022-09-16,266.70001220703125,379314
2022-09-19,267.29998779296875,180344
2022-09-20,276.3999938964844,111339
2022-09-21,267.5,164456
2022-09-22,263.1000061035156,208945
2022-09-23,253.9499969482422,182875
2022-09-26,258.1000061035156,293632
2022-09-27,252.85000610351562,163843
2022-09-28,254.10000610351562,90522
2022-09-29,256.6499938964844,112193
2022-09-30,257.29998779296875,91679
2022-10-03,250.64999389648438,131080
2022-10-04,264.75,232128
2022-10-06,280.20001220703125,352203
2022-10-07,283.8999938964844,241089
2022-10-10,282.1000061035156,120070
2022-10-11,277.5,137809
2022-10-12,272.3999938964844,108574
2022-10-13,266.6499938964844,72156
2022-10-14,260.8999938964844,80866
2022-10-17,273.3500061035156,143833
2022-10-18,275.3999938964844,97615
2022-10-19,274.1499938964844,66797
2022-10-20,286.54998779296875,151395
2022-10-21,285.20001220703125,380580
2022-10-24,293.6000061035156,132025
2022-10-25,284.25,97185
2022-10-27,284.6000061035156,92590
2022-10-28,276.20001220703125,72806
2022-10-31,278.54998779296875,81363
2022-11-01,273.6499938964844,81900
2022-11-02,269.54998779296875,78151
2022-11-03,271.75,117070
2022-11-04,276.29998779296875,58474
2022-11-07,271.70001220703125,98151
2022-11-09,274.95001220703125,67193
2022-11-10,293.95001220703125,350216
2022-11-11,293.20001220703125,429924
2022-11-14,277.1000061035156,231534
2022-11-15,271.1000061035156,158841
2022-11-16,264.3500061035156,190249
2022-11-17,283.75,271101
2022-11-18,278.6499938964844,78882
2022-11-21,270.20001220703125,92125
2022-11-22,270.5,78077
2022-11-23,277.1000061035156,107080
2022-11-24,285.5,177666
2022-11-25,313.54998779296875,1322536
2022-11-28,334.1000061035156,1063993
2022-11-29,314.3999938964844,333301
2022-11-30,316.29998779296875,360840
2022-12-01,331.0,257528
2022-12-02,340.45001220703125,616954
2022-12-05,341.5,255143
2022-12-06,337.25,108188
2022-12-07,362.29998779296875,858449
2022-12-08,359.3999938964844,433358
2022-12-09,358.8999938964844,249901
2022-12-12,367.95001220703125,445168
2022-12-13,357.25,184354
2022-12-14,362.54998779296875,218591
2022-12-15,350.20001220703125,195121
2022-12-16,339.6000061035156,211358
2022-12-19,345.0,165890
2022-12-20,347.45001220703125,133253
2022-12-21,323.6000061035156,283116
2022-12-22,329.1000061035156,294230
2022-12-23,300.95001220703125,319095
2022-12-26,330.70001220703125,341338
2022-12-27,342.95001220703125,246982
2022-12-28,367.04998779296875,4311811
2022-12-29,357.79998779296875,990077
2022-12-30,359.6000061035156,856892
2023-01-02,358.8500061035156,499388
2023-01-03,359.1000061035156,586889
2023-01-04,354.8500061035156,214857
2023-01-05,349.8500061035156,233596
2023-01-06,344.70001220703125,149632
2023-01-09,339.29998779296875,191834
2023-01-10,348.6499938964844,448715
2023-01-11,341.20001220703125,329589
2023-01-12,340.70001220703125,250065
2023-01-13,340.3999938964844,74915
2023-01-16,338.95001220703125,83894
2023-01-17,338.8500061035156,109200
2023-01-18,337.6499938964844,98295
2023-01-19,349.54998779296875,188738
2023-01-20,395.1000061035156,3640168
2023-01-23,401.25,2658784
2023-01-24,397.6499938964844,854364
2023-01-25,384.29998779296875,456422
2023-01-27,381.25,483150
2023-01-30,398.75,839813
2023-01-31,398.25,211917
2023-02-01,398.25,254395
2023-02-02,403.54998779296875,180919
2023-02-03,405.79998779296875,874501
2023-02-06,429.8999938964844,876096
2023-02-07,427.04998779296875,594921
