Date,Close,Volume
2022-12-27,14.800000190734863,109456
2022-12-28,15.5,384762
2022-12-29,16.200000762939453,839889
2022-12-30,15.399999618530273,959769
2023-01-02,14.949999809265137,650377
2023-01-03,14.25,189050
2023-01-04,13.699999809265137,350785
2023-01-05,14.350000381469727,140208
2023-01-06,15.050000190734863,311470
2023-01-09,15.300000190734863,286214
2023-01-10,18.350000381469727,3872673
2023-01-11,21.950000762939453,6763977
2023-01-12,22.25,3264693
2023-01-13,20.399999618530273,1238376
2023-01-16,22.399999618530273,2219664
2023-01-17,24.600000381469727,2573856
2023-01-18,23.5,5525508
2023-01-19,22.700000762939453,1545861
2023-01-20,21.399999618530273,1542211
2023-01-23,20.600000381469727,3008882
2023-01-24,18.799999237060547,1625095
2023-01-25,17.899999618530273,1408842
2023-01-27,17.0,638192
2023-01-30,16.149999618530273,433410
2023-01-31,15.350000381469727,183534
2023-02-01,14.600000381469727,1855272
2023-02-02,13.899999618530273,1942461
2023-02-03,13.300000190734863,800849
2023-02-06,12.850000381469727,1147968
2023-02-07,13.449999809265137,564395
2023-02-08,14.100000381469727,865936
2023-02-09,14.800000190734863,699991
2023-02-10,15.5,763764
2023-02-13,14.75,712153
2023-02-14,14.050000190734863,250533
2023-02-15,13.800000190734863,713727
2023-02-16,13.300000190734863,809726
2023-02-17,12.649999618530273,2046234
2023-02-20,12.050000190734863,857580
2023-02-21,11.449999809265137,1107473
2023-02-22,10.899999618530273,353517
2023-02-23,10.350000381469727,318249
2023-02-24,9.850000381469727,3099408
2023-02-27,9.350000381469727,1285247
2023-02-28,9.100000381469727,1925405
2023-03-01,8.649999618530273,3001704
2023-03-02,8.25,939756
2023-03-03,7.949999809265137,2572241
2023-03-06,8.300000190734863,1265195
2023-03-08,8.699999809265137,540755
2023-03-09,9.100000381469727,41044
2023-03-10,9.550000190734863,533947
2023-03-13,10.0,295114
2023-03-14,9.5,1548884
2023-03-15,9.050000190734863,385262
2023-03-16,9.149999618530273,793159
2023-03-17,9.600000381469727,508948
2023-03-20,9.149999618530273,433742
2023-03-21,8.75,476853
2023-03-22,9.050000190734863,296713
2023-03-23,8.75,234074
2023-03-24,8.600000381469727,215622
2023-03-27,8.199999809265137,304659
2023-03-28,7.800000190734863,166260
2023-03-29,7.699999809265137,569472
2023-03-31,8.050000190734863,159919
2023-04-03,8.449999809265137,369883
2023-04-05,8.850000381469727,195070
2023-04-06,9.25,525965
2023-04-10,9.25,750852
2023-04-11,9.100000381469727,267285
2023-04-12,8.899999618530273,276063
2023-04-13,8.850000381469727,136165
2023-04-17,8.899999618530273,98234
2023-04-18,9.300000190734863,269169
2023-04-19,9.050000190734863,262948
2023-04-20,8.649999618530273,574312
2023-04-21,8.699999809265137,190721
2023-04-24,8.550000190734863,297049
2023-04-25,8.850000381469727,334440
2023-04-26,8.800000190734863,169081
2023-04-27,8.850000381469727,167525
2023-04-28,8.899999618530273,93631
2023-05-02,9.050000190734863,146534
2023-05-03,8.850000381469727,126322
2023-05-04,9.199999809265137,246676
2023-05-05,9.0,614148
2023-05-08,8.800000190734863,207326
2023-05-09,8.399999618530273,732390
2023-05-10,8.149999618530273,306845
2023-05-11,8.050000190734863,682670
2023-05-12,8.050000190734863,293530
2023-05-15,8.100000381469727,104175
2023-05-16,8.050000190734863,140328
2023-05-17,8.300000190734863,389271
2023-05-18,8.0,375728
2023-05-19,7.849999904632568,242511
2023-05-22,7.800000190734863,196804
2023-05-23,7.650000095367432,455647
2023-05-24,7.900000095367432,212396
2023-05-25,7.949999809265137,261491
2023-05-26,8.100000381469727,221417
2023-05-29,7.75,560808
2023-05-30,7.800000190734863,79437
2023-05-31,7.650000095367432,269489
2023-06-01,7.849999904632568,212493
2023-06-02,8.100000381469727,303358
2023-06-05,8.5,359816
2023-06-06,8.600000381469727,350078
2023-06-07,8.550000190734863,191269
2023-06-08,8.300000190734863,175951
2023-06-09,8.149999618530273,151844
2023-06-12,8.149999618530273,111131
2023-06-13,8.25,137817
2023-06-14,8.300000190734863,159438
2023-06-15,8.300000190734863,127435
2023-06-16,8.350000381469727,121408
2023-06-19,8.399999618530273,144152
2023-06-20,8.199999809265137,170846
2023-06-21,8.149999618530273,159182
2023-06-22,8.199999809265137,125972
2023-06-23,8.149999618530273,87932
2023-06-26,8.550000190734863,253327
2023-06-27,8.949999809265137,262679
2023-06-28,8.949999809265137,0
2023-06-30,9.800000190734863,189185
2023-07-03,10.25,69459
2023-07-04,10.25,0
2023-07-05,10.25,0
2023-07-06,10.25,0
2023-07-07,10.25,0
2023-07-10,10.050000190734863,12117
2023-07-11,10.050000190734863,0
2023-07-12,10.050000190734863,0
2023-07-13,10.050000190734863,0
2023-07-14,10.050000190734863,0
2023-07-17,9.850000381469727,10507
2023-07-18,9.850000381469727,0
2023-07-19,9.850000381469727,0
2023-07-20,9.850000381469727,0
2023-07-21,9.850000381469727,0
2023-07-24,9.649999618530273,54310
2023-07-25,9.800000190734863,347789
2023-07-26,9.600000381469727,91564
2023-07-27,9.399999618530273,84259
2023-07-28,9.25,71452
2023-07-31,9.350000381469727,281646
2023-08-01,9.449999809265137,55241
2023-08-02,9.550000190734863,67514
2023-08-03,9.550000190734863,86176
2023-08-04,9.699999809265137,118582
2023-08-07,10.149999618530273,81710
