Date,Close,Volume
2004-02-25,39.25,1039
2004-02-26,38.849998474121094,924
2004-02-27,38.849998474121094,3640
2004-03-01,40.099998474121094,2734
2004-03-02,40.099998474121094,0
2004-03-03,40.79999923706055,1663
2004-03-04,36.75,78720
2004-03-05,36.45000076293945,13224
2004-03-08,34.25,2224
2004-03-09,32.45000076293945,450
2004-03-10,33.150001525878906,532
2004-03-11,33.150001525878906,0
2004-03-12,35.0,1250
2004-03-15,34.70000076293945,450
2004-03-16,33.0,5200
2004-03-17,35.70000076293945,400
2004-03-18,33.75,564
2004-03-19,34.0,400
2004-03-22,35.54999923706055,6836
2004-03-23,35.650001525878906,336
2004-03-24,38.79999923706055,2300
2004-03-25,39.29999923706055,855
2004-03-26,38.79999923706055,3247
2004-03-29,41.900001525878906,3748
2004-03-30,43.25,1500
2004-03-31,43.0,5579
2004-04-01,43.29999923706055,3189
2004-04-02,43.0,873
2004-04-05,43.29999923706055,987
2004-04-06,43.0,6925
2004-04-07,42.04999923706055,826
2004-04-08,42.5,574
2004-04-09,42.5,0
2004-04-12,42.04999923706055,1959
2004-04-13,41.20000076293945,7463
2004-04-14,41.20000076293945,0
2004-04-15,41.75,1369
2004-04-16,42.349998474121094,830
2004-04-19,43.25,2295
2004-04-20,42.400001525878906,1776
2004-04-21,41.75,7582
2004-04-22,43.150001525878906,5436
2004-04-23,44.099998474121094,11087
2004-04-27,41.54999923706055,13181
2004-04-28,42.900001525878906,1495
2004-04-29,43.0,500
2004-04-30,42.04999923706055,6642
2004-05-03,41.0,1814
2004-05-04,43.0,530
2004-05-05,40.0,7858
2004-05-06,41.650001525878906,2900
2004-05-07,40.599998474121094,1505
2004-05-10,40.150001525878906,200
2004-05-11,39.54999923706055,1136
2004-05-12,38.04999923706055,1300
2004-05-13,38.849998474121094,303
2004-05-14,35.0,1449
2004-05-17,33.95000076293945,50
2004-05-18,30.549999237060547,3400
2004-05-19,33.650001525878906,6251
2004-05-20,36.349998474121094,13259
2004-05-21,35.75,967
2004-05-24,35.54999923706055,975
2004-05-25,36.150001525878906,3772
2004-05-26,36.0,1191
2004-05-27,35.400001525878906,1275
2004-05-28,33.849998474121094,547
2004-05-31,30.200000762939453,1207
2004-06-01,31.5,1220
2004-06-02,30.25,13809
2004-06-03,30.0,764
2004-06-04,30.0,39
2004-06-07,31.600000381469727,775
2004-06-08,31.950000762939453,1700
2004-06-09,30.600000381469727,1740
2004-06-10,30.700000762939453,405
2004-06-11,31.0,450
2004-06-14,30.0,976
2004-06-15,30.899999618530273,925
2004-06-16,30.100000381469727,550
2004-06-17,29.549999237060547,2101
2004-06-18,29.75,414
2004-06-21,29.399999618530273,200
2004-06-22,29.899999618530273,1450
2004-06-23,29.350000381469727,1211
2004-06-24,29.0,1251
2004-06-25,29.049999237060547,458
2004-06-28,32.099998474121094,660
2004-06-29,31.799999237060547,1400
2004-06-30,31.5,2166
2004-07-01,32.0,2987
2004-07-02,32.599998474121094,2522
2004-07-05,32.04999923706055,600
2004-07-06,33.25,1850
2004-07-07,33.25,400
2004-07-08,31.799999237060547,799
2004-07-09,33.95000076293945,1701
2004-07-12,34.900001525878906,11650
2004-07-13,34.79999923706055,2900
2004-07-14,34.95000076293945,1644
2004-07-15,35.650001525878906,8546
2004-07-16,38.04999923706055,11159
2004-07-19,39.0,23134
2004-07-20,37.5,5410
2004-07-21,37.650001525878906,1875
2004-07-22,38.900001525878906,3286
2004-07-23,38.900001525878906,6194
2004-07-26,38.20000076293945,17277
2004-07-27,38.349998474121094,3090
2004-07-28,38.25,3820
2004-07-29,38.0,1000
2004-07-30,38.0,6701
2004-08-02,38.25,2600
2004-08-03,38.20000076293945,12165
2004-08-04,37.95000076293945,4649
2004-08-05,37.95000076293945,7047
2004-08-06,38.0,6034
2004-08-09,37.099998474121094,5398
2004-08-10,37.599998474121094,4509
2004-08-11,36.25,4830
2004-08-12,35.099998474121094,7133
2004-08-13,35.150001525878906,960
2004-08-16,35.25,1040
2004-08-17,35.54999923706055,1907
2004-08-18,36.099998474121094,550
2004-08-19,36.400001525878906,1512
2004-08-20,35.900001525878906,4460
2004-08-23,36.45000076293945,1550
2004-08-24,36.099998474121094,1600
2004-08-25,37.29999923706055,1802
2004-08-26,37.25,4055
2004-08-27,36.349998474121094,6200
2004-08-30,38.900001525878906,10671
2004-08-31,39.45000076293945,32943
2004-09-01,42.400001525878906,39297
2004-09-02,42.25,53131
2004-09-03,45.25,335058
2004-09-06,45.099998474121094,348776
2004-09-07,45.20000076293945,159610
2004-09-08,44.79999923706055,70372
2004-09-09,43.54999923706055,78966
2004-09-10,44.099998474121094,284298
2004-09-13,43.849998474121094,88367
2004-09-14,43.04999923706055,31334
2004-09-15,42.70000076293945,46954
2004-09-16,42.599998474121094,22405
2004-09-17,42.650001525878906,19464
2004-09-20,43.25,27446
2004-09-21,43.099998474121094,104916
2004-09-22,42.650001525878906,23541
2004-09-23,42.75,53961
2004-09-24,42.849998474121094,24799
2004-09-27,42.5,25059
2004-09-28,41.599998474121094,24495
2004-09-29,41.900001525878906,12151
2004-09-30,42.349998474121094,29928
2004-10-01,42.0,24198
2004-10-04,42.54999923706055,108196
2004-10-05,42.45000076293945,26955
2004-10-06,44.5,240139
2004-10-07,45.04999923706055,79349
2004-10-08,44.599998474121094,36457
2004-10-11,44.25,32826
2004-10-12,42.849998474121094,21424
2004-10-14,41.650001525878906,18917
2004-10-15,41.5,13753
2004-10-18,42.0,49124
2004-10-19,41.849998474121094,12566
2004-10-20,41.25,6914
2004-10-21,41.25,9792
2004-10-22,41.25,0
2004-10-25,39.400001525878906,17360
2004-10-26,39.650001525878906,9942
2004-10-27,40.29999923706055,14732
2004-10-28,40.650001525878906,10326
2004-10-29,40.349998474121094,13671
2004-11-01,38.849998474121094,15609
2004-11-02,40.599998474121094,125163
2004-11-03,40.599998474121094,46335
2004-11-04,40.04999923706055,32063
2004-11-05,40.150001525878906,18250
2004-11-08,40.70000076293945,29881
2004-11-09,42.04999923706055,193140
2004-11-10,42.20000076293945,51327
2004-11-11,41.650001525878906,32839
2004-11-12,41.95000076293945,22814
2004-11-15,41.95000076293945,0
2004-11-16,43.45000076293945,151429
2004-11-17,45.04999923706055,382371
2004-11-18,45.70000076293945,222189
2004-11-19,43.79999923706055,130794
2004-11-22,44.45000076293945,133058
2004-11-23,44.25,112594
2004-11-24,48.79999923706055,540976
2004-11-25,49.599998474121094,672662
2004-11-26,49.599998474121094,0
2004-11-29,51.349998474121094,258659
2004-11-30,47.25,278285
2004-12-01,51.45000076293945,555663
2004-12-02,49.45000076293945,242617
2004-12-03,49.349998474121094,127718
2004-12-06,48.349998474121094,105507
2004-12-07,48.25,49030
2004-12-08,48.20000076293945,173606
