Date,Close,Volume
2002-07-01,67.25,351744
2002-07-02,66.5,191040
2002-07-03,69.5,988736
2002-07-04,68.375,578112
2002-07-05,68.0,351488
2002-07-08,68.5,1232000
2002-07-09,67.25,7625536
2002-07-10,63.875,3665280
2002-07-11,62.0,2383168
2002-07-12,64.75,1711232
2002-07-15,64.375,983168
2002-07-16,64.25,896192
2002-07-17,62.25,459712
2002-07-18,62.625,625216
2002-07-19,61.5,530816
2002-07-22,58.5,558208
2002-07-23,59.625,1331840
2002-07-24,55.75,585472
2002-07-25,56.75,901312
2002-07-26,52.125,764288
2002-07-29,52.125,883456
2002-07-30,48.625,475648
2002-07-31,46.375,1733312
2002-08-01,48.125,1915840
2002-08-02,50.25,849856
2002-08-05,50.125,371264
2002-08-06,49.0,696640
2002-08-07,49.75,520896
2002-08-08,48.5,699776
2002-08-09,48.5,374912
2002-08-12,49.375,397568
2002-08-13,48.75,152512
2002-08-14,49.375,309696
2002-08-15,49.375,0
2002-08-16,52.75,1586944
2002-08-19,52.25,692416
2002-08-20,54.375,913920
2002-08-21,52.75,1915200
2002-08-22,57.75,3340352
2002-08-23,61.75,6472448
2002-08-26,58.875,1889344
2002-08-27,58.0,2642496
2002-08-28,57.5,1161472
2002-08-29,59.125,2059648
2002-08-30,61.5,1980864
2002-09-02,62.875,1747648
2002-09-03,63.75,1464256
2002-09-04,63.625,1737024
2002-09-05,62.75,766336
2002-09-06,62.5,1146880
2002-09-09,63.0,366400
2002-09-10,63.0,0
2002-09-11,63.5,639360
2002-09-12,64.875,546880
2002-09-13,63.0,374656
2002-09-16,61.25,281216
2002-09-17,63.375,426240
2002-09-18,62.25,567168
2002-09-19,61.0,440960
2002-09-20,62.0,772352
2002-09-23,62.5,332608
2002-09-24,61.625,739968
2002-09-25,61.25,183424
2002-09-26,62.0,326208
2002-09-27,62.625,499776
2002-09-30,62.375,1150528
2002-10-01,62.0,644032
2002-10-02,62.0,0
2002-10-03,62.75,489664
2002-10-04,63.25,214400
2002-10-07,65.0,562496
2002-10-08,65.75,1117440
2002-10-09,64.75,9824000
2002-10-10,65.125,4106368
2002-10-11,68.375,4746816
2002-10-14,68.75,5041792
2002-10-15,68.75,0
2002-10-16,69.375,2095552
2002-10-17,69.875,1750016
2002-10-18,73.125,4194944
2002-10-21,71.125,1127488
2002-10-22,70.5,768640
2002-10-23,69.625,629568
2002-10-24,68.875,1046656
2002-10-25,67.0,1016000
2002-10-28,67.375,592128
2002-10-29,67.875,726528
2002-10-30,68.625,331712
2002-10-31,69.875,382592
2002-11-01,69.625,651008
2002-11-04,69.25,141312
2002-11-05,69.875,356160
2002-11-06,69.875,0
2002-11-07,69.375,343680
2002-11-08,69.125,108992
2002-11-11,68.25,153344
2002-11-12,68.125,275072
2002-11-13,68.875,229056
2002-11-14,72.875,5058688
2002-11-15,71.625,3930944
2002-11-18,70.75,1086528
2002-11-19,70.75,0
2002-11-20,71.25,587712
2002-11-21,73.25,2109312
2002-11-22,73.625,1622016
2002-11-25,74.0,1358912
2002-11-26,77.0,7969664
2002-11-27,76.875,3404544
2002-11-28,76.75,1664576
2002-11-29,77.875,1076544
2002-12-02,79.0,1137920
2002-12-03,79.0,1141056
2002-12-04,77.0,891712
2002-12-05,77.25,684992
2002-12-06,80.25,1164864
2002-12-09,79.5,596928
2002-12-10,80.875,459904
2002-12-11,81.5,444160
2002-12-12,86.875,2523392
2002-12-13,87.0,2409856
2002-12-16,88.0,2873792
2002-12-17,86.875,2912064
2002-12-18,88.25,3976320
2002-12-19,89.0,2179904
2002-12-20,91.125,1879040
2002-12-23,90.375,896000
2002-12-24,89.5,643712
2002-12-25,89.5,0
2002-12-26,89.25,776000
2002-12-27,88.625,824640
2002-12-30,91.75,2682816
2002-12-31,89.5,8307264
2003-01-01,91.0,3457152
2003-01-02,89.125,1453568
2003-01-03,89.875,1433024
2003-01-06,89.0,1772544
2003-01-07,91.75,5285760
2003-01-08,92.25,5516224
2003-01-09,94.5,26810176
2003-01-10,89.25,7633408
2003-01-13,92.25,2782784
2003-01-14,92.875,7491392
2003-01-15,93.625,1948800
2003-01-16,94.875,4250368
2003-01-17,93.5,2085440
2003-01-20,91.375,719616
2003-01-21,88.375,1419072
2003-01-22,89.125,1536896
2003-01-23,84.125,1663168
2003-01-24,86.25,4372544
2003-01-27,85.5,2513088
2003-01-28,85.625,1424768
2003-01-29,83.125,1152192
2003-01-30,85.75,1078464
2003-01-31,86.125,979584
2003-02-03,84.75,1852288
2003-02-04,87.75,5755392
2003-02-05,87.375,2797632
2003-02-06,88.125,1016192
2003-02-07,89.875,2029184
2003-02-10,87.5,637376
2003-02-11,87.5,670336
2003-02-12,87.625,484096
2003-02-13,87.625,0
2003-02-14,87.25,904320
2003-02-17,91.125,1559104
2003-02-18,88.875,468032
2003-02-19,88.375,401984
2003-02-20,89.375,335872
2003-02-21,88.125,300352
2003-02-24,87.5,581568
2003-02-25,85.75,947264
2003-02-26,84.375,633920
2003-02-27,87.625,2478272
2003-02-28,89.5,2074176
2003-03-03,88.75,969792
2003-03-04,87.875,312192
2003-03-05,85.75,485632
2003-03-06,84.75,604160
2003-03-07,82.375,779328
2003-03-10,80.625,467200
2003-03-11,81.125,573120
2003-03-12,80.125,332096
2003-03-13,81.5,430656
2003-03-14,81.5,0
2003-03-17,81.0,560768
2003-03-18,81.0,0
2003-03-19,80.5,849728
2003-03-20,83.875,845056
2003-03-21,83.5,718720
2003-03-24,81.75,247808
2003-03-25,79.375,487488
2003-03-26,79.375,483008
2003-03-27,79.875,945920
2003-03-28,80.25,361152
2003-03-31,80.875,877568
2003-04-01,79.125,474688
2003-04-02,79.625,581056
2003-04-03,78.75,1334208
2003-04-04,80.0,1813248
2003-04-07,80.0,1404416
2003-04-08,76.125,1650944
2003-04-09,80.0,38437760
2003-04-10,70.125,16869696
2003-04-11,74.25,5810624
2003-04-15,73.5,2104192
2003-04-16,72.0,1376576
2003-04-17,72.125,1539264
2003-04-18,72.125,0
2003-04-21,71.5,1054720
2003-04-22,70.5,565184
2003-04-23,67.75,1442944
2003-04-24,67.25,1766848
2003-04-25,67.75,580160
2003-04-28,68.125,768768
2003-04-29,68.375,358080
2003-04-30,67.375,457664
2003-05-01,67.375,0
2003-05-02,69.625,2624384
2003-05-05,70.375,1260736
2003-05-06,70.75,1149056
2003-05-07,69.375,286912
2003-05-08,68.875,485760
2003-05-09,69.0,229632
