Date,Close,Volume
2022-11-24,556.8499755859375,5863701
2022-11-25,567.5,1579954
2022-11-28,555.4500122070312,352849
2022-11-29,543.0499877929688,558162
2022-11-30,537.0499877929688,224303
2022-12-01,541.0999755859375,136774
2022-12-02,532.4500122070312,82293
2022-12-05,531.1500244140625,99495
2022-12-06,539.2000122070312,92535
2022-12-07,542.4500122070312,127726
2022-12-08,549.7999877929688,153510
2022-12-09,542.3499755859375,174456
2022-12-12,543.0999755859375,44914
2022-12-13,541.2999877929688,35400
2022-12-14,535.6500244140625,74468
2022-12-15,527.2000122070312,83762
2022-12-16,513.2999877929688,39355
2022-12-19,518.4500122070312,74992
2022-12-20,526.4000244140625,39583
2022-12-21,503.70001220703125,48830
2022-12-22,494.79998779296875,43043
2022-12-23,478.79998779296875,88798
2022-12-26,500.3500061035156,29657
2022-12-27,525.5,41321
2022-12-28,502.5,44717
2022-12-29,494.45001220703125,37341
2022-12-30,494.6000061035156,44788
2023-01-02,507.29998779296875,145054
2023-01-03,526.5999755859375,273958
2023-01-04,514.0999755859375,27369
2023-01-05,523.0999755859375,48679
2023-01-06,509.79998779296875,27431
2023-01-09,532.9000244140625,147337
2023-01-10,533.25,67605
2023-01-11,530.2000122070312,97818
2023-01-12,541.0999755859375,253525
2023-01-13,531.75,57259
2023-01-16,528.0,12408
2023-01-17,519.25,24102
2023-01-18,530.7000122070312,35693
2023-01-19,525.0,34625
2023-01-20,543.7999877929688,189689
2023-01-23,531.1500244140625,14422
2023-01-24,523.8499755859375,10121
2023-01-25,517.2999877929688,18481
2023-01-27,493.1499938964844,19045
2023-01-30,487.04998779296875,6951
2023-01-31,494.3999938964844,99578
2023-02-01,497.6499938964844,66511
2023-02-02,485.25,29825
2023-02-03,491.8999938964844,21104
2023-02-06,492.45001220703125,6949
2023-02-07,484.6499938964844,56392
2023-02-08,483.70001220703125,46474
2023-02-09,483.8999938964844,11808
2023-02-10,482.75,3965
2023-02-13,480.95001220703125,59082
2023-02-14,487.45001220703125,20821
2023-02-15,490.8500061035156,9896
2023-02-16,474.95001220703125,13946
2023-02-17,471.0,84344
2023-02-20,483.6000061035156,114034
2023-02-21,484.6499938964844,14969
2023-02-22,475.6499938964844,9029
2023-02-23,466.75,9171
2023-02-24,470.0,17979
2023-02-27,454.6499938964844,116462
