Date,Close,Volume
2002-07-01,800.0,89516
2002-07-02,762.5,92527
2002-07-03,817.0,112860
2002-07-04,880.75,677195
2002-07-05,893.0,518007
2002-07-08,884.5,148939
2002-07-09,888.75,183901
2002-07-10,878.0,108059
2002-07-11,831.75,54912
2002-07-12,797.25,87996
2002-07-15,759.75,47537
2002-07-16,798.25,194181
2002-07-17,823.75,221660
2002-07-18,836.0,90196
2002-07-19,800.75,62688
2002-07-22,760.0,35867
2002-07-23,753.5,48334
2002-07-24,721.5,28391
2002-07-25,718.75,43891
2002-07-26,727.75,125039
2002-07-29,705.5,59581
2002-07-30,638.75,51227
2002-07-31,674.0,134082
2002-08-01,668.0,92398
2002-08-02,674.75,65947
2002-08-05,722.25,96611
2002-08-06,749.75,75205
2002-08-07,751.25,86048
2002-08-08,714.25,57985
2002-08-09,744.75,200189
2002-08-12,733.25,68577
2002-08-13,728.0,31618
2002-08-14,719.75,129395
2002-08-15,719.75,0
2002-08-16,715.5,48465
2002-08-19,724.75,57407
2002-08-20,759.25,129140
2002-08-21,775.5,234837
2002-08-22,734.25,222042
2002-08-23,729.75,117115
2002-08-26,730.0,78685
2002-08-27,713.75,57148
2002-08-28,716.75,59272
2002-08-29,704.75,40544
2002-08-30,749.0,122054
2002-09-02,750.25,128685
2002-09-03,741.5,79769
2002-09-04,741.5,43596
2002-09-05,729.75,50059
2002-09-06,714.0,26360
2002-09-09,706.25,16799
2002-09-10,706.25,0
2002-09-11,717.0,20567
2002-09-12,710.5,19991
2002-09-13,701.5,10436
2002-09-16,685.25,16346
2002-09-17,685.75,17732
2002-09-18,675.75,28992
2002-09-19,656.75,23343
2002-09-20,645.0,19951
2002-09-23,636.0,15521
2002-09-24,617.25,11630
2002-09-25,615.25,20022
2002-09-26,682.75,143948
2002-09-27,687.0,118753
2002-09-30,640.0,48011
2002-10-01,629.0,28914
2002-10-02,629.0,0
2002-10-03,631.0,20942
2002-10-04,632.25,17629
2002-10-07,653.0,65256
2002-10-08,665.75,62247
2002-10-09,653.0,58004
2002-10-10,638.75,21750
2002-10-11,647.75,25935
2002-10-14,654.25,54365
2002-10-15,654.25,0
2002-10-16,659.75,33505
2002-10-17,657.5,24459
2002-10-18,657.0,25250
2002-10-21,644.0,11844
2002-10-22,632.5,19172
2002-10-23,629.5,6424
2002-10-24,620.25,12106
2002-10-25,608.75,9342
2002-10-28,578.5,10685
2002-10-29,561.5,85404
2002-10-30,546.25,34304
2002-10-31,524.75,57047
2002-11-01,507.0,98624
2002-11-04,510.0,27984
2002-11-05,481.5,52780
2002-11-06,481.5,0
2002-11-07,471.75,51432
2002-11-08,484.25,70461
2002-11-11,479.5,37266
2002-11-12,468.75,13952
2002-11-13,473.0,43821
2002-11-14,476.0,14602
2002-11-15,482.0,19095
2002-11-18,473.75,27212
2002-11-19,473.75,0
2002-11-20,508.0,102464
2002-11-21,502.25,78475
2002-11-22,494.5,33492
2002-11-25,492.25,42500
2002-11-26,501.0,31784
2002-11-27,500.25,18000
2002-11-28,507.0,23406
2002-11-29,530.75,88190
2002-12-02,556.25,94726
2002-12-03,520.5,71069
2002-12-04,510.5,24592
2002-12-05,519.5,24482
2002-12-06,528.25,24868
2002-12-09,518.25,22707
2002-12-10,519.5,11691
2002-12-11,516.5,24925
2002-12-12,513.25,9531
2002-12-13,513.25,12491
2002-12-16,503.25,11503
2002-12-17,490.5,14752
2002-12-18,480.0,17559
2002-12-19,477.25,22082
2002-12-20,473.0,36168
2002-12-23,473.25,9958
2002-12-24,473.0,10453
2002-12-25,473.0,0
2002-12-26,479.0,12957
2002-12-27,473.5,8118
2002-12-30,466.75,6361
2002-12-31,472.5,12511
2003-01-01,472.5,6405
2003-01-02,469.0,18220
2003-01-03,463.25,7622
2003-01-06,446.75,8164
2003-01-07,435.5,7354
2003-01-08,437.25,9334
2003-01-09,442.5,5493
2003-01-10,432.25,7746
2003-01-13,427.25,5274
2003-01-14,423.5,5313
2003-01-15,423.25,7841
2003-01-16,422.75,4821
2003-01-17,458.75,31281
