Date,Close,Volume
2014-09-26,252.89999389648438,11847
2014-09-29,273.6499938964844,32930
2014-09-30,278.95001220703125,19543
2014-10-01,289.45001220703125,21008
2014-10-07,280.6000061035156,15021
2014-10-08,268.45001220703125,9196
2014-10-09,279.0,13432
2014-10-10,270.6000061035156,15281
2014-10-13,274.6000061035156,6689
2014-10-14,269.54998779296875,16537
2014-10-15,269.54998779296875,0
2014-10-16,246.35000610351562,17481
2014-10-17,236.0,18931
2014-10-20,244.25,11501
2014-10-21,245.3000030517578,6644
2014-10-22,251.9499969482422,2744
2014-10-27,257.1000061035156,4418
2014-10-28,249.85000610351562,7759
2014-10-29,249.4499969482422,6203
2014-10-30,250.35000610351562,19401
2014-10-31,246.64999389648438,5766
2014-11-03,250.10000610351562,11226
2014-11-05,252.14999389648438,20600
2014-11-07,262.8500061035156,17230
2014-11-10,270.70001220703125,17557
2014-11-11,270.29998779296875,8079
2014-11-12,259.3999938964844,15625
2014-11-13,257.29998779296875,12265
2014-11-14,255.5,21501
2014-11-17,248.0500030517578,18682
2014-11-18,251.9499969482422,11581
2014-11-19,246.3000030517578,8123
2014-11-20,244.5,10197
2014-11-21,238.85000610351562,11559
2014-11-24,237.3000030517578,9566
2014-11-25,230.39999389648438,8211
2014-11-26,233.3000030517578,5331
2014-11-27,245.25,3630
2014-11-28,241.60000610351562,6122
2014-12-01,234.8000030517578,1855
2014-12-02,235.1999969482422,5522
2014-12-03,235.1999969482422,0
2014-12-04,235.1999969482422,0
2014-12-05,235.1999969482422,0
2014-12-08,233.3000030517578,4187
2014-12-09,226.25,8366
2014-12-10,223.39999389648438,3694
2014-12-11,221.25,1263
2014-12-12,220.5,3828
2014-12-15,205.3000030517578,11459
2014-12-16,194.4499969482422,4107
2014-12-17,193.75,7835
2014-12-18,213.9499969482422,15618
2014-12-19,214.89999389648438,13661
2014-12-22,211.4499969482422,2399
2014-12-23,211.5,3558
2014-12-24,212.8000030517578,3724
2014-12-26,210.89999389648438,3980
2014-12-29,210.6999969482422,4023
2014-12-30,209.9499969482422,3547
2014-12-31,214.14999389648438,2711
2015-01-01,221.14999389648438,1604
2015-01-02,220.64999389648438,4405
2015-01-05,228.0,4369
2015-01-06,217.75,3243
2015-01-07,216.14999389648438,1613
2015-01-08,253.64999389648438,100530
2015-01-09,254.9499969482422,33566
2015-01-12,265.8999938964844,26564
2015-01-13,257.3999938964844,7056
2015-01-14,248.5500030517578,4999
2015-01-15,244.60000610351562,2730
2015-01-16,256.1000061035156,9361
2015-01-19,263.79998779296875,27679
2015-01-20,262.75,7432
2015-01-21,256.29998779296875,6044
2015-01-22,256.6499938964844,4263
2015-01-23,258.1000061035156,8708
2015-01-27,257.6000061035156,3116
2015-01-28,246.35000610351562,4284
2015-01-29,243.14999389648438,2069
2015-01-30,239.3000030517578,3111
2015-02-02,240.60000610351562,1490
2015-02-03,236.39999389648438,1712
2015-02-04,233.75,1825
2015-02-05,232.1999969482422,587
2015-02-06,220.0,4181
2015-02-09,216.5500030517578,3535
2015-02-10,220.39999389648438,1900
2015-02-11,220.9499969482422,3167
2015-02-12,231.10000610351562,4749
2015-02-13,230.10000610351562,4201
2015-02-16,218.6999969482422,17203
2015-02-18,218.0,9767
2015-02-19,220.8000030517578,6618
2015-02-20,232.39999389648438,16914
2015-02-23,227.64999389648438,7604
2015-02-24,226.39999389648438,1892
2015-02-25,221.39999389648438,7580
2015-02-26,222.5,3118
2015-02-27,232.75,6505
2015-03-02,252.9499969482422,54746
2015-03-03,248.9499969482422,8511
2015-03-04,250.5,25411
2015-03-05,245.3000030517578,6746
2015-03-09,241.10000610351562,8958
2015-03-10,241.0,3581
2015-03-11,236.75,3287
2015-03-12,236.5,1797
2015-03-13,233.0500030517578,3915
2015-03-16,227.8000030517578,4120
2015-03-17,224.89999389648438,6527
2015-03-18,221.9499969482422,9228
2015-03-19,221.35000610351562,4006
2015-03-20,215.3000030517578,9430
2015-03-23,213.6999969482422,5583
2015-03-24,213.89999389648438,3558
2015-03-25,210.6999969482422,6591
2015-03-26,200.6999969482422,4329
2015-03-27,206.10000610351562,5869
2015-03-30,212.3000030517578,6918
2015-03-31,209.25,3295
2015-04-01,215.5,3839
2015-04-06,218.9499969482422,8747
2015-04-07,218.1999969482422,3212
2015-04-08,222.1999969482422,11552
2015-04-09,234.60000610351562,19515
2015-04-10,234.60000610351562,4021
2015-04-13,231.1999969482422,4685
2015-04-15,231.60000610351562,2445
2015-04-16,225.39999389648438,3367
2015-04-17,225.14999389648438,1395
2015-04-20,217.0,4686
2015-04-21,217.0,3882
2015-04-22,208.85000610351562,11214
2015-04-23,211.5,1428
2015-04-24,212.39999389648438,7205
2015-04-27,200.5500030517578,5569
2015-04-28,204.0500030517578,3746
2015-04-29,201.64999389648438,3818
2015-04-30,204.4499969482422,1477
2015-05-04,205.5500030517578,1967
2015-05-05,207.89999389648438,2130
2015-05-06,200.89999389648438,2958
2015-05-07,198.4499969482422,2951
2015-05-08,199.35000610351562,3524
2015-05-11,199.60000610351562,4753
2015-05-12,194.0500030517578,3456
2015-05-13,193.39999389648438,4494
2015-05-14,201.14999389648438,3755
2015-05-15,200.4499969482422,938
2015-05-18,200.14999389648438,2151
2015-05-19,201.0500030517578,929
2015-05-20,202.4499969482422,1585
